"","Airradians_TranscriptID","blastxEval_CvirgTranscriptID","blastxEval_CvirgProteinID","blastxEval_CvirgGeneID","blastxEval_CvirgGOterms","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ai21","Ai22","Ai23","Ai24","Ai25","Ai26","Ai27","Ai28","Ai29","Ai30","Ai31","Ai32","Ai33","Ai34","Ai35","Ai36","Ai38","Ai39","Ai40"
"2396","evm.model.Contig823.62",NA,NA,NA,NA,49.5843838410158,24.7683926480645,2.96087669803585,8.3652225925163,6.00015414937248e-17,1.0938281014306e-13,0,0,0,0,0,0,0,0,0,0,2150.84432413237,0,0,0,0,942.1032929793,0,0,0
"2473","evm.model.Contig902.93","XM_022471626.1","far upstream element-binding protein 1-like","LOC111126771","GO:0003723;GO:0009058;GO:0034641",36.2317787785114,24.3423739519733,2.96100780314665,8.22097595491126,2.01853738192452e-16,1.8398968236242e-13,0,0,0,0,0,0,0,0,0,0,256.804498835321,0,206.391748872773,0,0,225.207549083623,0,0,0
"325","evm.model.Contig121.93.2","XM_022460804.1","ras-related protein Rab-3-like","LOC111120116","GO:0003924;GO:0043167",50.2704576977602,-23.8734637327937,2.96869808223012,-8.0417284181555,8.85800407450508e-16,5.38271380927425e-13,0,304.323272518551,562.623373933945,0,88.192049804948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"624","evm.model.Contig143.119","XM_022477022.1","uncharacterized","LOC111130235","GO:0008168",32.8414481290143,-23.2749548722448,2.96889844606072,-7.83959279682577,4.52009817323256e-15,2.06003474245074e-12,215.092028971662,0,0,0,0,0,210.006144229236,0,0,198.889341250373,0,0,0,0,0,0,0,0,0
"1669","evm.model.Contig449.63","XM_022466303.1","tubulin beta chain-like","LOC111123746","GO:0003924;GO:0005198;GO:0005856;GO:0008150;GO:0043167",23.3204526065803,-22.7949159488921,2.9691345491293,-7.67729301980496,1.62485478851663e-14,5.92422055893163e-12,0,58.5237062535675,264.623705536728,0,119.941187734729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","evm.model.Contig1144.10","XM_022480085.1","uncharacterized","LOC111132291","GO:0006464;GO:0016746",9.11408198220576,22.4543212971025,2.96245591128138,7.57963053951075,3.4654037199577e-14,1.05290516358048e-11,0,0,0,0,0,0,0,0,0,0,526.406564057784,0,0,0,0,173.167557661909,0,0,0
"2305","evm.model.Contig80.209",NA,NA,NA,NA,7.18459867348336,22.1478766562474,2.96297486039471,7.47487835698239,7.7275301626054e-14,2.01246964091852e-11,0,0,0,0,28.2214559375834,0,0,0,0,0,136.507374796184,0,0,0,0,370.560628571858,0,0,0
"680","evm.model.Contig1487.4","XM_022435342.1","uncharacterized","LOC111102549","",14.0939671881653,-22.0974146677788,2.96966737581476,-7.44104031574114,9.98954513306985e-14,2.27636759719829e-11,0,69.2530524000549,159.727822260908,0,38.8045019141771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1206","evm.model.Contig313.49",NA,NA,NA,NA,11.2609507812672,-21.7397308789145,2.97000623484635,-7.3197593405184,2.48416053357963e-13,5.03180516968408e-11,0,57.5483111493414,88.2079018455761,0,68.2018518491598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1031","evm.model.Contig247.79","XM_022462809.1","solute carrier family 25 member 38-like","LOC111121504","GO:0022857",37.7942382969258,8.72622468307435,1.3636839099188,6.39900831827953,1.56389323855196e-10,2.85097737388023e-08,0,0,0,0,0,0,0,0,0,0,125.416150593994,144.807804400696,87.5358001055729,111.302848412009,46.6559691746999,104.079982843427,98.2919721111907,0,0
"2204","evm.model.Contig765.35","XM_022479377.1","histone H1-delta-like","LOC111131719","GO:0003677;GO:0005634;GO:0005694;GO:0032991;GO:0051276;GO:0065003",239.761217068194,1.07518932086064,0.193831980324372,5.54701715919811,2.90584234151013e-08,4.81577326233905e-06,132.275846693803,137.530709695884,182.375797059096,237.875367500053,197.550191563084,158.954896303288,141.975984831033,123.07917947661,122.957434971718,139.222538875261,513.608997670641,401.144601010623,349.340119687378,261.220970762878,367.693471352992,385.813729505809,306.378168389137,231.344231976188,165.120886970201
"35","evm.model.Contig0.344",NA,NA,NA,NA,330.243452957332,-1.2719261096544,0.231675861485432,-5.49011062913167,4.0168206869277e-08,6.10222009355767e-06,613.06979380693,652.539324727278,625.799303634155,429.187897106479,413.914687084556,463.926499675875,196.202923481774,472.883163252239,331.885109029352,371.260103667363,187.697640344753,134.914103478909,166.237712127097,144.239405595155,308.818081680157,248.535821100253,170.442462277916,243.823381418887,99.2481927001741
"1121","evm.model.Contig279.25","XM_022433314.1","early growth response protein 2-like","LOC111101054","GO:0003674",63.4846786517343,-9.43490000910247,1.8938378540512,-4.9818942994089,6.29648277127433e-07,8.82960622464085e-05,234.645849787268,381.379485752415,0,147.786398531948,198.726085560483,0,0,190.633917084073,0,53.0371576667662,0,0,0,0,0,0,0,0,0
"940","evm.model.Contig225.62","XM_022487060.1","CCAAT/enhancer-binding protein beta-like","LOC111136304","GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641",61.5812393691177,-9.39096124034461,1.89737235406491,-4.94945613612715,7.44211472583294e-07,9.69069653228104e-05,374.973269758084,130.702943966301,0,46.5628378936275,203.42966155008,153.40995806015,0,260.964876784993,0,0,0,0,0,0,0,0,0,0,0
"353","evm.model.Contig124.10","XM_022447001.1","dual specificity protein phosphatase 7-like","LOC111110487","GO:0006464;GO:0016791",177.487681795513,-0.862896894552728,0.215612478773838,-4.00207306859009,6.27898998427042e-05,0.00715412421332811,250.748996341296,273.110629183315,152.575830219375,262.16902205325,336.305683256202,218.100904230093,137.046263135511,364.610501607401,108.962279771685,152.481828291953,131.388348241327,135.813530835435,101.991253334016,96.5381848471507,138.857051115178,139.969632099782,103.520268500084,146.869989594841,121.20575745685
"2129","evm.model.Contig728.4","XM_022479259.1","histone H1-delta-like","LOC111131637","GO:0003677;GO:0005634;GO:0005694;GO:0032991;GO:0051276;GO:0065003",487.10098591549,0.645338200344418,0.16073314746208,4.01496648659023,5.94542422439713e-05,0.00715412421332811,506.098891698028,491.599132529967,345.679615340771,527.37475092565,302.204757331622,415.870368235346,345.080518686538,229.501026392476,255.911409372031,425.244353435322,702.15980910787,774.406953968938,727.591145831643,546.292551899759,544.319640371499,498.866124663325,563.610350722679,527.004080310901,526.103251569949
"2245","evm.model.Contig781.29","XM_022476510.1","serine/threonine-protein phosphatase 4 regulatory subunit 3A-like","LOC111129953","",24.2237774834611,8.08469505466788,2.08325043796017,3.8808080427354,0.000104109989489813,0.0111642653435252,0,0,0,0,0,0,0,0,0,0,122.856637316565,52.1667866785115,46.5786826249838,0,0,113.052395157516,0,0,125.597270408185
"2197","evm.model.Contig763.17","XM_022471177.1","glutamine synthetase-like","LOC111126492","GO:0006520;GO:0009058;GO:0016874;GO:0071554",623.764015983019,-1.26425357611886,0.375886060419681,-3.36339574472994,0.000769899098781471,0.0779736698377012,1909.3730914062,506.230059093359,683.01523996642,671.112207032066,1209.99492332389,1716.15838625119,203.104533855505,583.932046990533,516.821088458359,622.239510483311,755.056416841391,449.71367826303,436.875919792951,303.243474755167,223.282138193207,467.462681564015,269.780093666885,186.227307067969,137.893506671923
"490","evm.model.Contig132.38","XM_022445867.1","polyglutamine-binding protein 1-like","LOC111109660","GO:0003674",8.63441992897833,6.59644953426007,2.08213712081674,3.16811485099144,0.00153430894688977,0.14721290579895,0,0,0,0,0,0,0,0,0,0,35.8331858839982,38.6753763306206,0,0,31.1039794498,22.4310307852214,0,0,36.0104062009481
"848","evm.model.Contig210.83.1",NA,NA,NA,NA,120.037640356582,0.992980095132467,0.323664223730555,3.06793282151291,0.0021554506756886,0.178608480990014,46.0089901543662,99.4903006310647,95.3598938871093,85.0277909361893,101.12688377634,63.7667897960864,83.8052688238734,109.198069009323,78.9726614859001,54.9313418691507,293.490855811795,83.6467441569236,227.271847980524,118.117308518867,45.5451127657785,341.848909166775,96.2006535556335,108.472606694229,148.433137755128
"870","evm.model.Contig219.28_evm.model.Contig219.29","XM_022432354.1","uncharacterized","LOC111100448","",101.381809965227,-1.56496292529197,0.508273078801326,-3.07898055309689,0.00207710239734456,0.178608480990014,233.495625033408,77.0562132338639,72.7119190889208,193.337000819192,228.123435495466,222.721686099374,95.6366008931261,117.526735289695,99.9653942859495,136.381262571685,20.4761062194276,47.6696498958812,53.0033285042919,103.352644954008,0,17.9448246281771,24.0501633889084,104.632868404168,78.1689305337654
"2079","evm.model.Contig679.44",NA,NA,NA,NA,147.543614643179,1.1105020795228,0.361398077832303,3.07279464844885,0.0021206436319149,0.178608480990014,56.3610129390986,110.219646777552,65.5599270473876,88.0644977553389,105.830459765938,93.3397937594888,164.652704630434,96.2423659065222,69.9757760001647,102.285946928763,253.391814465416,57.5633508176678,239.318059004227,132.881972083725,91.090225531557,636.14403306888,140.118343222336,122.871625281959,177.41712323394
"1316","evm.model.Contig348.60","XM_022461524.1","prefoldin subunit 1-like","LOC111120649","GO:0006457;GO:0032991;GO:0051082",155.993264312218,0.491062595124172,0.163074198445117,3.01128320608879,0.00260146094170968,0.195916671545911,88.5673060471549,138.50610480011,139.463844809897,125.517215191518,125.820657721726,109.974608488903,149.863539543868,185.081472897158,105.963317943107,140.169630976454,147.598598998374,149.304941183326,310.79224441153,160.139812511156,156.630753657921,163.297904116412,176.716417944588,181.427634205392,209.036016483553
"1492","evm.model.Contig415.43","XM_022469489.1","inverted formin-2-like","LOC111125557","GO:0007010;GO:0008092;GO:0019899",185.682848066684,-0.298948639136164,0.0996005136311138,-3.00147688237199,0.00268673438762907,0.195916671545911,201.289331925352,180.448094281833,203.831773183696,208.52053491494,190.494827578688,206.08687136996,188.315368768939,241.531322130791,225.921791086246,187.524236036066,146.745427905898,168.192915670373,137.326805670211,173.768732724871,239.944984327028,157.914456727959,165.214165889023,156.469335319994,148.433137755128
"1780","evm.model.Contig500.12",NA,NA,NA,NA,80.6999587800265,0.437078139947251,0.14476906513968,3.019140446376,0.00253492987560369,0.195916671545911,62.1121367083944,60.4744964620197,72.7119190889208,71.8687280532076,61.1464878647639,84.0982300209256,72.9598810937251,66.6293302429769,77.9730075430406,62.5080786786887,101.527360004662,71.9541885220848,138.932967140038,80.6377779311494,65.5405281263642,108.566189000472,76.3331272778396,99.8331955415915,97.49158751964
"2400","evm.model.Contig823.82","XM_022463263.1","zinc finger protein 511-like","LOC111121829","GO:0003674",90.6447484100783,0.387645055100989,0.129820668279092,2.98600415665415,0.00282648801185355,0.198180294061886,85.1166317855775,71.2038426085071,82.2479084776317,68.832021234058,70.5536398439584,83.1740736470692,86.7631018411866,94.3915511775506,66.9768141715862,82.3970128037261,116.884439669232,86.3450262265018,101.991253334016,94.2666981448648,69.9839537620499,146.250320719644,107.702905611198,112.31234498429,94.856679748839
"2347","evm.model.Contig81.8",NA,NA,NA,NA,18.3724803250278,7.68575557351243,2.59397153314202,2.96292980679045,0.00304726049844307,0.205746514394879,0,0,0,0,0,0,0,0,0,0,151.011283368278,0,57.8218129137729,0,0,108.566189000472,0,31.677840893005,0
"184","evm.model.Contig109.85","XM_022441401.1","protein BTG1-like","LOC111106649","",281.55314897318,-0.472327638284362,0.160598751703177,-2.94104177819098,0.00327110412151032,0.212972243339761,495.746868913296,333.585125645335,257.471713495195,325.939865255392,412.738793087157,259.687941053627,214.935865924758,341.475317495256,265.907948800626,338.111880125635,276.427433962272,240.147104192458,224.862605775784,201.026573152302,276.603245821435,322.10960207578,199.720922055717,189.107110785515,173.903912872871
"358","evm.model.Contig124.129","XM_022468953.1","tyrosine-protein kinase BAZ1B-like","LOC111125315","",17.0156368704916,7.57511050983704,2.58692539879913,2.92822920728733,0.00340898636954989,0.214295936265154,0,0,0,0,0,0,0,0,0,0,151.011283368278,56.6639234611418,54.6094899741189,0,0,61.0124037358023,0,0,0
"161","evm.model.Contig108.20",NA,NA,NA,NA,77.460122744176,-0.499370029477988,0.172896397285308,-2.88826162556728,0.00387377520697787,0.227802974268408,89.7175308010141,81.9331887549945,81.0559098040429,74.9054348723572,64.6741698569619,108.12629574119,93.6647122149173,100.869402728951,97.9660864002306,106.074315333532,53.7497788259974,76.4513253047151,52.2002477693783,69.2803444197199,44.4342563568571,85.2379169838414,69.0135123333892,34.5576446105509,87.8302590267027
"570","evm.model.Contig141.12","XM_022467571.1","eukaryotic translation initiation factor 3 subunit G-like","LOC111124589","GO:0005840;GO:0008135",84.2971347004851,0.36734091311689,0.127064777801106,2.89097356068168,0.00384050428818773,0.227802974268408,74.7646090008451,75.1054230254116,69.1359230681542,66.8075500212916,69.3777458465591,73.932509908506,81.8333801456646,91.6153290840932,63.9778523430077,74.820275994188,96.4083334498048,78.2501800177672,135.720644200384,99.9454149005795,87.7576563047928,106.771706537654,82.6070829445114,100.793130114107,72.0208124018963
"1394","evm.model.Contig362.3","XM_022468128.1","FK506-binding protein 2-like","LOC111124873","GO:0043167",14.8439631974492,7.37820492391329,2.58952655393417,2.8492486059677,0.00438226228740508,0.242086792422408,0,0,0,0,0,0,0,0,0,0,41.8053835313313,0,108.415899213324,0,0,44.8620615704429,0,0,86.9519564364357
"1829","evm.model.Contig52.143","XM_022460104.1","4-aminobutyrate aminotransferase, mitochondrial-like","LOC111119686","GO:0006520;GO:0043167",15.0155860745727,7.39480292626855,2.58956441357033,2.85561652280858,0.00429533581589584,0.242086792422408,0,0,0,0,0,0,0,0,0,0,79.3449116002818,0,117.249787297373,0,0,41.2730966448074,0,0,47.4283398744195
"316","evm.model.Contig121.140",NA,NA,NA,NA,266.611077115129,0.268033239196391,0.0960242713965086,2.79130719034164,0.00524956236040972,0.277274750685738,239.246748802704,250.676541786114,258.663712168784,230.789718255371,249.289527448653,263.384566549053,226.76719799401,284.100060897137,194.932518857602,232.984656893294,283.252802702081,258.135651322979,372.62946099987,278.257121030023,356.584907263778,254.816509720115,265.597456555771,318.698278075081,246.803027865035
"951","evm.model.Contig227.130","XM_022444348.1","small nuclear ribonucleoprotein F","LOC111108450","GO:0005634;GO:0006397;GO:0022618;GO:0032991",121.217360859496,0.625771472427392,0.224549867360596,2.78678175045408,0.00532343185628131,0.277274750685738,58.6614624468169,97.5395104226125,147.807835525019,76.9299060851237,77.6090038283542,76.704979030075,106.481988623274,119.377550018667,113.960549485982,89.0266575120718,123.709808409042,87.2444535830278,185.511649765022,205.569546556874,102.198789620771,114.846877620334,117.113839111206,264.941942014224,137.893506671923
"2137","evm.model.Contig731.10","XM_022485811.1","monocarboxylate transporter 13-like","LOC111135595","GO:0005575;GO:0055085",142.267430144098,-0.390491390277676,0.141422267160527,-2.76117331533395,0.00575941037279862,0.291650141933664,144.928318986254,176.546513864929,122.775863379653,185.239115968127,112.885823750333,212.555965986955,161.69487161312,127.706216299039,148.948437486065,208.360262262296,89.5829647099956,115.126701635336,143.751451549519,130.610485381439,95.5336511672428,126.511013628649,138.027024666778,130.551101862081,131.745388540054
