"","Airradians_TranscriptID","blastxEval_CvirgTranscriptID","blastxEval_CvirgProteinID","blastxEval_CvirgGeneID","blastxEval_CvirgGOterms","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ai1","Ai2","Ai3","Ai4","Ai5","Ai6","Ai7","Ai8","Ai9","Ai10","Ai11","Ai12","Ai13","Ai14","Ai15","Ai16","Ai17","Ai18","Ai19","Ai20"
"252","evm.model.Contig1162.6","XM_022434571.1","isocitrate dehydrogenase [NADP] cytoplasmic-like","LOC111101916","GO:0006091;GO:0006790;GO:0016491;GO:0034641;GO:0043167;GO:0044281;GO:0051186",164.313074744911,1.32153751088073,0.231239693481907,5.71501151459594,1.09696596116342e-08,1.13097190595949e-05,51.2366566429125,142.189373599912,120.347965739127,96.4014739383589,53.6811330519791,133.973344828802,62.55106599243,92.268830588828,83.6731094620796,102.05531310016,332.256630000009,240.771553945266,340.389724512694,214.425783719925,215.443132668488,172.282121561315,177.476549430482,360.700130145001,157.833459466842,136.304142503614
"1941","evm.model.Contig58.77","XR_002639793.1",NA,NA,NA,485.601048931628,1.03667203538461,0.180776703621559,5.73454441095903,9.77748037357934e-09,1.13097190595949e-05,238.716241177206,263.116784792361,292.978244463284,330.129575845512,361.127622349678,365.028823591519,391.767202794693,369.075322355312,184.598406442114,385.75035777308,708.087900000018,705.4042851373,953.906533364914,744.847459237633,493.526118888166,854.079453697583,461.810707156803,684.819822563032,333.778955265945,589.47116173641
"1699","evm.model.Contig465.29","XM_022474205.1","protein disulfide-isomerase A3-like","LOC111128544","GO:0016853;GO:0042592",322.647739800292,1.24876940107074,0.232376698960335,5.37390111253752,7.70511252804872e-08,3.17758840656729e-05,96.6509659400396,151.491482153177,214.061545617955,247.369819917298,198.864197442559,184.456054474438,278.73632915925,230.17600749041,111.276609490807,197.556615267281,517.448850000013,519.390141453834,658.358568967665,485.279405260882,254.35576896544,506.766027784081,449.731151436404,663.552126210143,212.169568463624,275.263560510546
"1738","evm.model.Contig481.27","XM_022436903.1","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2-like","LOC111103552","GO:0005737;GO:0005783;GO:0006464;GO:0009058;GO:0032991",284.298954523412,1.32664451660987,0.246817498385768,5.37500187501441,7.65818851873546e-08,3.17758840656729e-05,107.131191162454,164.780208657842,189.40007722879,212.810800958264,147.623115892943,192.222625189151,197.529682081358,214.301800077278,63.8330938164318,131.080218660755,462.980550000012,512.94809318774,546.254168679053,516.531746207915,274.286631459,478.357805611737,268.537815630415,587.839127193858,177.67045164027,239.859887132983
"2297","evm.model.Contig80.136","XM_022462850.1","calreticulin-like","LOC111121532","GO:0005783;GO:0006457;GO:0043167;GO:0051082",2319.47093964681,1.23051084823155,0.22702909276597,5.42005799010087,5.95797058833686e-08,3.17758840656729e-05,894.312552312655,1346.14799492253,1132.45462843047,1631.54947401336,1363.98878982074,1740.68266143509,1967.61511095486,1591.38929316645,789.28757894642,1404.43091422238,3901.2919875001,4383.81384507701,4579.97431724564,2945.53313425791,2064.26790111877,3561.10810844293,3140.68448730381,4828.61777995996,1261.80519781415,1860.46303599089
"1493","evm.model.Contig416.12","XM_022442007.1","serine-aspartate repeat-containing protein I-like","LOC111107057","GO:0006457;GO:0043167;GO:0051082",588.576899049958,1.1095786176441,0.209295972756719,5.30148097466667,1.14867020452518e-07,3.94759660288487e-05,236.387302238892,297.667473704489,428.12309123591,391.062582957494,453.84957943946,332.991719393328,560.764819686522,459.359877017499,214.789734598534,352.980303107891,791.15205750002,1002.54376141089,1015.05438806779,889.823596408594,675.75114740072,1037.35830642239,467.385886720064,1185.03604078299,485.5750692887,493.881243616992
"1694","evm.model.Contig464.39","XM_022457270.1","MAP kinase-interacting serine/threonine-protein kinase 1-like","LOC111118004","GO:0006464;GO:0016301;GO:0043167",861.56280911303,-0.772724526158661,0.149295707609457,-5.17579867855298,2.26938063463772e-07,6.68494695517567e-05,762.727502297903,1247.81141878801,830.598255347089,1024.94774649557,866.218283338754,1212.55585283459,799.9952124295,1304.66142176676,1550.10904848822,1269.60554645703,588.257640000015,648.231106775715,533.005466826763,757.001147383701,669.107526569533,526.010307320185,550.084383575105,494.261263241145,935.788543833463,660.278508491534
"692","evm.model.Contig1525.27","XM_022481146.1","MICOS complex subunit MIC60-like","LOC111133070","",183.21891431665,0.976164977540375,0.189682346609864,5.1463143249073,2.65654151571212e-07,6.847235756748e-05,130.420580545596,140.860500949446,94.7000386143949,120.95656635662,141.522987137036,159.21469965162,100.959615286027,64.4889676158475,122.490531377477,159.168836945203,277.788330000007,186.014143683466,273.127084339527,235.260677684614,283.777518360696,299.660924205053,314.997645324258,268.823681900519,175.083017878519,115.061938477077
"856","evm.model.Contig218.10","XM_022476324.1","sphingosine-1-phosphate phosphatase 2-like","LOC111129840","",321.188511463641,0.886666933421194,0.174339764202228,5.08585598631813,3.65971682801459e-07,8.38481788818454e-05,201.453218164179,225.9083505793,208.142793204556,276.472151672275,229.364841222093,288.333937783727,233.743457129607,175.608419507769,211.339297094943,203.174338924171,604.598130000016,457.385426892679,563.579394178202,371.555609036954,314.148356446121,461.862708866504,333.581577201795,550.407981612772,313.079485171933,200.030754583226
"229","evm.model.Contig1146.24","XM_022451424.1","60 kDa heat shock protein, mitochondrial-like","LOC111113292","GO:0005737;GO:0006457;GO:0043167",297.922858110457,1.4425590326587,0.290907040730508,4.95883162207498,7.09183987236138e-07,0.000146233738168092,133.913988953067,279.063256597958,270.289693545252,162.791168254399,59.7812618078858,94.1696699158973,108.641325144747,186.521937104298,95.7496407246477,211.600924409505,566.470320000015,202.119264348701,629.822903439655,472.257596532951,387.228185589177,712.954737099485,402.342125148683,459.382241222407,192.332576290196,331.024346080206
"1674","evm.model.Contig450.28","XM_022460960.1","ATPase family AAA domain-containing protein 2-like","LOC111120233","GO:0005739;GO:0006520;GO:0006629;GO:0009056;GO:0009058;GO:0016491;GO:0016829;GO:0016887;GO:0032991;GO:0034641;GO:0043167;GO:0051276",280.856042547235,0.915300853592254,0.185653181291892,4.93016519955658,8.21601095165783e-07,0.000154012859839259,187.479584534294,184.713298414839,273.249069751952,118.228222754591,242.785124485087,182.51441179576,253.496425337743,180.569109324373,146.643593902614,176.95829519202,471.150795000012,338.207533969938,480.010659417601,302.974083069853,286.624784431204,471.943045766368,379.112210301762,487.45560040822,208.719656781289,244.285346305179
"261","evm.model.Contig117.144","XM_022476325.1","heat shock protein HSP 90-beta-like","LOC111129841","GO:0006457;GO:0043167;GO:0051082",4117.58197283294,0.880085570719603,0.179778078693215,4.8953998013375,9.81060694642662e-07,0.000168578929362764,1495.17879839772,3744.76312901451,3237.55757012963,3007.54409730333,2624.27539079107,3027.02093605946,3604.91669798478,3154.99872335993,1848.57189254883,3247.98056095829,4339.76180250011,6074.8515149267,6973.91282886336,4114.02343744422,4513.86581044638,7617.06911924282,4799.30040737402,6652.53541918374,3050.58440510503,5222.92691502485
"1824","evm.model.Contig52.125","XM_022477357.1","nucleolin-like","LOC111130355","GO:0003674",445.141221293772,0.851354806021173,0.176692720363635,4.81827889835572,1.44801869290627e-06,0.000229678041905595,182.821706657665,348.164634422215,326.517841472549,342.861845988314,278.165871269346,413.569890558477,412.617558125503,343.279735308973,204.438422087761,322.082822994999,615.491790000016,660.309947274642,777.596885638279,599.871322066672,364.450057025108,649.723532909428,583.535460954672,684.819822563032,324.291698139523,468.213580418259
"1154","evm.model.Contig282.65","XM_022474912.1","peptidyl-prolyl cis-trans isomerase B-like","LOC111128939","GO:0006457;GO:0006464;GO:0016853",1401.40318016293,0.580043398072474,0.1210129545746,4.79323391542267,1.64114082453123e-06,0.000241716598584528,1057.33827799465,1318.24166926274,779.302401097625,1284.14038868833,1030.92175974824,1264.98020515891,1142.37999470385,1102.26527724933,955.771188494682,1298.63045201763,1936.34806500005,1947.91434446019,1767.17300091321,2055.70953784932,1309.74239243398,1540.45875715197,2032.15295080871,1612.091383549,1448.96290658085,1143.53865009526
"1175","evm.model.Contig284.70","XM_022475422.1","hypoxia-inducible factor 1-alpha-like","LOC111129189","GO:0003674;GO:0009058;GO:0034641",319.420559847277,-0.928760654478945,0.194458229313864,-4.77614476772739,1.78687775746554e-06,0.000245636129059596,321.39357348736,272.418893345626,442.91997226941,592.050561640298,356.247519344952,384.445250378302,376.403783077254,568.495052982779,529.642156801205,343.617430346409,231.490275000006,242.382066011789,182.424433196923,173.624116372409,187.919560653571,121.880437061994,196.989677901896,206.722008550083,415.714357721409,241.630070801862
"849","evm.model.Contig210.91","XM_022446630.1","SAM pointed domain-containing Ets transcription factor-like","LOC111110225","GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641",353.939347365297,-0.909352110855739,0.198544294582051,-4.580096913739,4.64760522078121e-06,0.000598960122828178,363.314474377016,534.20680548752,432.068926178177,442.901111396045,412.368703899294,506.768739135035,306.171007226105,461.34415294414,620.216141270466,541.17404561369,153.872947500004,244.797834111574,196.692265960928,348.984473908541,223.035842189844,226.349383115132,212.786019997803,128.456885971451,466.600555035856,256.676631987325
"1287","evm.model.Contig344.29","XM_022444294.1","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1-like","LOC111108423","GO:0005737;GO:0005783;GO:0006464;GO:0009058;GO:0016757;GO:0032991",443.337070106467,1.01960420812543,0.224374335994849,4.54421047578649,5.5141539712572e-06,0.000640016775504435,228.236015954792,215.277369375568,256.47927124732,420.16491471247,344.047261833139,362.116359573502,385.182880058648,302.602078812823,145.780984526716,268.714448254548,709.449607500018,780.293096230644,584.98114332421,856.835014297836,371.093677856294,622.231705000707,697.826642001527,712.04247389473,279.442846269163,323.943611404694
"1806","evm.model.Contig517.46","XM_022471083.1","70 kDa neurofilament protein-like","LOC111126433","GO:0005198;GO:0005856",624.594852669903,-0.969037124287564,0.213376314217263,-4.54144654172288,5.58695536327829e-06,0.000640016775504435,1082.95660631611,434.541356702535,764.505520064126,650.255225150251,645.393622374931,980.529552732539,910.831311819595,1360.22114771272,612.452656887386,826.741664838907,273.703207500007,235.940017745695,429.054113831868,487.015646424606,545.725996847492,502.184056465961,410.704894493575,239.89961486059,507.99949522388,591.241345405288
"2516","evm.model.Contig990.21","XM_022458823.1","probable histone deacetylase 1-B","LOC111119027","GO:0005654;GO:0006464;GO:0016810;GO:0032991;GO:0051276",191.689629133912,0.70592077496413,0.160575207914833,4.3962002860276,1.10162292405184e-05,0.00119555077336573,95.4864964708825,180.72668046344,131.19901183036,162.791168254399,137.862909883492,173.777019741707,168.997616891828,146.836418571468,132.84184388825,126.398782280014,264.171255000007,218.224385013936,257.840120663807,299.501600742405,136.668771384415,273.085490559957,338.22756017118,230.541828465319,163.008326990345,195.605295411031
"683","evm.model.Contig1495.7","XM_022479411.1","T-complex protein 1 subunit gamma-like","LOC111131740","GO:0006457;GO:0043167;GO:0051082",445.821068255102,0.655280589315755,0.150140246803056,4.36445658821455,1.27439153133176e-05,0.00131389766880305,236.387302238892,325.573799364285,403.461622846745,441.082215661359,324.526849814237,352.40814618011,404.935848266784,387.925943658406,276.035000287273,309.911088405072,531.065925000014,654.673155041809,600.26810699993,538.234760754466,391.973629040025,741.362959271829,495.26178453637,630.374519899636,302.729750124927,568.228957709872
"990","evm.model.Contig231.48","XM_022440345.1","coatomer subunit zeta-1-like","LOC111105880","GO:0005794;GO:0016192;GO:0031410;GO:0032991",237.914412551817,0.657911630437452,0.15186829620838,4.33211965145591,1.4768064259231e-05,0.00138417038647883,115.282477446553,251.156930938162,186.44070102209,234.637549774496,151.283193146487,213.580694654612,165.705455523806,170.647729691166,150.956640782102,205.983200752616,300.937357500008,320.49190123818,349.561902718125,348.116353326679,213.544955288149,345.480637386254,255.529063316138,318.164737439222,181.98284124319,278.803927848302
"2123","evm.model.Contig723.43","XM_022458234.1","ER lumen protein-retaining receptor 2","LOC111118667","GO:0003674;GO:0005783;GO:0008150",681.722884429926,0.69037843943016,0.159307962226318,4.33360912902387,1.46684515888511e-05,0.00138417038647883,337.69614605556,473.078663566063,510.985625023506,665.715838895082,513.630841247346,615.500729141019,609.049853084187,628.023330782023,365.746375380636,496.232256358574,859.237432500022,996.101713144795,1108.81443194554,987.053101577143,675.75114740072,933.805754632873,903.179089248315,886.437583988422,468.325510877023,600.092263749678
"274","evm.model.Contig117.72","XM_022466576.1","electron transfer flavoprotein subunit beta-like","LOC111123896","GO:0016491",142.543005950284,0.573523067097528,0.133152281476948,4.3072717998964,1.65280468036685e-05,0.00148177532648541,104.802252224139,107.638684687784,124.293800681393,107.314848346475,129.322729625222,105.819525987967,154.731584297064,89.2924166988658,116.452265746193,105.800462204753,190.639050000005,162.661718718875,235.419240606084,139.767413679789,138.566948764754,195.191978151915,120.795557203993,208.423424258314,145.758768578668,168.16744854342
