"Airradians_TranscriptID","blastxEval_CvirgTranscriptID","blastxEval_CvirgProteinID","blastxEval_CvirgGeneID","meanLength","blastxEval_CvirgGOterms"
"evm.model.Contig0.1","XM_022442608.1","LOC111107413","N-acylglucosamine 2-epimerase-like",397,"GO:0003674"
"evm.model.Contig0.10","XM_022472509.1",NA,NA,NA,NA
"evm.model.Contig0.100","XM_022438102.1",NA,NA,NA,NA
"evm.model.Contig0.101","XM_022435282.1","LOC111102498","lanC-like protein 3",416,"GO:0003674"
"evm.model.Contig0.102","XM_022437668.1","LOC111103993","macoilin-like",631,"GO:0005575"
"evm.model.Contig0.103","XM_022438739.1","LOC111104669","T-complex protein 1 subunit theta-like",555,"GO:0006457;GO:0043167;GO:0051082"
"evm.model.Contig0.105","XM_022435679.1","LOC111102806","high-affinity lysophosphatidic acid receptor-like",378,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.106","XM_022438115.1",NA,NA,NA,NA
"evm.model.Contig0.107","XM_022439789.1","LOC111105474","brachyury protein-like",450,"GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig0.108","XM_022438262.1","LOC111104359","probable C-mannosyltransferase DPY19L3",716.5,"GO:0005575"
"evm.model.Contig0.109","XM_022437104.1","LOC111103676","uncharacterized",512.285714285714,"GO:0007165"
"evm.model.Contig0.112","XM_022436367.1","LOC111103244","phosphatidylinositol-binding clathrin assembly protein LAP-like",783.181818181818,"GO:0008289;GO:0031410;GO:0043167;GO:0065003"
"evm.model.Contig0.113","XM_022438158.1","LOC111104292","uncharacterized",199,"GO:0007005;GO:0065003"
"evm.model.Contig0.114","XM_022436493.1","LOC111103314","serine/threonine-protein kinase LATS1-like",1203,"GO:0006464;GO:0006520;GO:0016301;GO:0043167"
"evm.model.Contig0.115","XM_022438912.1","LOC111104783","transcriptional enhancer factor TEF-1-like",420.571428571429,"GO:0003700;GO:0005622;GO:0007165;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig0.116","XM_022438915.1","LOC111104784","beta-parvin-like",353.5,"GO:0007010;GO:0007155;GO:0008092"
"evm.model.Contig0.117","XM_022438901.1","LOC111104778","translocator protein-like",166,"GO:0005575"
"evm.model.Contig0.118","XM_022436106.1","LOC111103091","uncharacterized",198,"GO:0003677;GO:0006259;GO:0006950;GO:0016887;GO:0032991"
"evm.model.Contig0.119","XM_022435929.1","LOC111102970","putative GPI-anchored protein pfl2",1066.33333333333,"GO:0006464;GO:0006520;GO:0016791"
"evm.model.Contig0.12","XM_022484428.1","LOC111134895","F-box/LRR-repeat protein 3-like",629,"GO:0003674"
"evm.model.Contig0.121","XM_022438895.1","LOC111104775","uncharacterized",4231,"GO:0003677;GO:0005622;GO:0006259;GO:0006950;GO:0009058;GO:0016779;GO:0032991;GO:0043226"
"evm.model.Contig0.122","XM_022438733.1","LOC111104663","uncharacterized",4232,"GO:0003677;GO:0005622;GO:0006259;GO:0006950;GO:0009058;GO:0016779;GO:0032991;GO:0043226"
"evm.model.Contig0.123","XM_022438732.1","LOC111104663","uncharacterized",4232,"GO:0003677;GO:0005622;GO:0006259;GO:0006950;GO:0009058;GO:0016779;GO:0032991;GO:0043226"
"evm.model.Contig0.124","XM_022437474.1","LOC111103889","SET domain-containing protein 4-like",419,"GO:0003674"
"evm.model.Contig0.125","XM_022437473.1","LOC111103888","MORC family CW-type zinc finger protein 3-like",755.333333333333,"GO:0043167"
"evm.model.Contig0.127","XM_022438483.1","LOC111104494","E3 ubiquitin-protein ligase parkin-like",418,"GO:0003674;GO:0005739;GO:0005829;GO:0006464"
"evm.model.Contig0.129","XM_022436139.1","LOC111103110","60S ribosomal protein L13a-like",203,"GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig0.13.2","XM_022430615.1",NA,NA,NA,NA
"evm.model.Contig0.130","XM_022436138.1",NA,NA,NA,NA
"evm.model.Contig0.131","XM_022439019.1","LOC111104858","uncharacterized",350,"GO:0005575"
"evm.model.Contig0.132","XM_022477965.1","LOC111130742","probable gamma-butyrobetaine dioxygenase",452,"GO:0016491"
"evm.model.Contig0.133","XM_022477965.1","LOC111130742","probable gamma-butyrobetaine dioxygenase",452,"GO:0016491"
"evm.model.Contig0.135","XM_022477965.1","LOC111130742","probable gamma-butyrobetaine dioxygenase",452,"GO:0016491"
"evm.model.Contig0.136_evm.model.Contig0.137","XM_022437655.1",NA,NA,NA,NA
"evm.model.Contig0.138","XM_022436633.1",NA,NA,NA,NA
"evm.model.Contig0.139","XM_022441552.1",NA,NA,NA,NA
"evm.model.Contig0.14","XM_022481771.1","LOC111133398","beta-hexosaminidase subunit alpha-like",994,"GO:0005975;GO:0006629;GO:0009056;GO:0016798"
"evm.model.Contig0.141.1","XM_022430751.1","LOC111099464","serine/threonine-protein kinase MARK1-like",779,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig0.142","XM_022433183.1","LOC111100986","uncharacterized",782,"GO:0003674;GO:0005575;GO:0055085"
"evm.model.Contig0.143.1","XM_022433180.1",NA,NA,NA,NA
"evm.model.Contig0.144_evm.model.Contig0.145","XM_022433623.1","LOC111101219","xylan 1,4-beta-xylosidase-like",737,"GO:0005975;GO:0016798"
"evm.model.Contig0.146","XM_022433623.1","LOC111101219","xylan 1,4-beta-xylosidase-like",737,"GO:0005975;GO:0016798"
"evm.model.Contig0.147","XM_022437719.1","LOC111104022","monocarboxylate transporter 10-like",555,"GO:0005886;GO:0022857"
"evm.model.Contig0.150","XM_022438392.1","LOC111104434","polycomb protein SCMH1-like",589.5,"GO:0003674;GO:0005634;GO:0009058;GO:0034641"
"evm.model.Contig0.155","XM_022488590.1","LOC111137226","probable G-protein coupled receptor 139",447.5,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.156","XM_022483637.1","LOC111134524","vigilin-like",1245,"GO:0003723"
"evm.model.Contig0.157","XM_022479923.1",NA,NA,NA,NA
"evm.model.Contig0.159","XM_022470308.1",NA,NA,NA,NA
"evm.model.Contig0.162","XM_022488588.1","LOC111137224","neprilysin-like",765,"GO:0008233"
"evm.model.Contig0.163","XM_022488590.1","LOC111137226","probable G-protein coupled receptor 139",447.5,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.166","XM_022481810.1",NA,NA,NA,NA
"evm.model.Contig0.167","XM_022482684.1","LOC111133939","integrin-linked kinase-associated serine/threonine phosphatase 2C-like",359,"GO:0005623;GO:0006464;GO:0016791;GO:0032991;GO:0043167"
"evm.model.Contig0.173","XM_022489536.1","LOC111137842","orexin receptor type 2-like",385,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.174","XM_022481328.1","LOC111133194","sodium- and chloride-dependent glycine transporter 1-like",586,"GO:0005575;GO:0022857"
"evm.model.Contig0.175","XM_022487231.1","LOC111136405","proline-rich receptor-like protein kinase PERK5",648,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig0.176","XM_022487232.1","LOC111136406","YEATS domain-containing protein 4-like",226,"GO:0000228;GO:0005654;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig0.185.1","XM_022485898.1","LOC111135642","zinc finger protein 83-like",432.909090909091,"GO:0003674"
"evm.model.Contig0.190","XM_022435693.1",NA,NA,NA,NA
"evm.model.Contig0.191","XM_022481094.1","LOC111133043","calsyntenin-1-like",979,"GO:0005575;GO:0007155;GO:0043167"
"evm.model.Contig0.192","XM_022484311.1","LOC111134850","ATP-dependent RNA helicase DHX36-like",1115,"GO:0004386;GO:0043167"
"evm.model.Contig0.194","XM_022459602.1","LOC111119424","cholecystokinin receptor type A-like",401,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.195","XM_022459602.1","LOC111119424","cholecystokinin receptor type A-like",401,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.196","XM_022459602.1","LOC111119424","cholecystokinin receptor type A-like",401,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.197","XM_022459602.1","LOC111119424","cholecystokinin receptor type A-like",401,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.199","XM_022472655.1","LOC111127470","growth hormone secretagogue receptor type 1-like",350,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.2","XM_022490015.1","LOC111138166","heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog",441,"GO:0003674"
"evm.model.Contig0.200","XM_022481952.1","LOC111133473","cholecystokinin receptor type A-like",408,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.201","XM_022490218.1","LOC111138319","tripartite motif-containing protein 2-like",676,"GO:0043167"
"evm.model.Contig0.204","XM_022471597.1",NA,NA,NA,NA
"evm.model.Contig0.205","XM_022483505.1","LOC111134471","cyclin-L1-like",464,"GO:0005634;GO:0006464;GO:0007049;GO:0009058;GO:0034641"
"evm.model.Contig0.206","XM_022483506.1","LOC111134472","45 kDa calcium-binding protein-like",349,"GO:0043167"
"evm.model.Contig0.207","XM_022482525.1",NA,NA,NA,NA
"evm.model.Contig0.212","XM_022489187.1",NA,NA,NA,NA
"evm.model.Contig0.215","XM_022478980.1","LOC111131443","uncharacterized",900,"GO:0003674"
"evm.model.Contig0.216","XM_022478979.1",NA,NA,NA,NA
"evm.model.Contig0.217","XM_022478980.1","LOC111131443","uncharacterized",900,"GO:0003674"
"evm.model.Contig0.218","XM_022478980.1","LOC111131443","uncharacterized",900,"GO:0003674"
"evm.model.Contig0.219","XM_022478980.1","LOC111131443","uncharacterized",900,"GO:0003674"
"evm.model.Contig0.220","XM_022454239.1","LOC111115481","kynurenine formamidase-like",286,"GO:0006520;GO:0009056;GO:0016810;GO:0034641"
"evm.model.Contig0.222","XM_022474626.1","LOC111128781","probable E3 ubiquitin-protein ligase HERC4",231.5,"GO:0003674;GO:0006464"
"evm.model.Contig0.224","XM_022478980.1","LOC111131443","uncharacterized",900,"GO:0003674"
"evm.model.Contig0.225","XM_022478980.1","LOC111131443","uncharacterized",900,"GO:0003674"
"evm.model.Contig0.226","XM_022478980.1","LOC111131443","uncharacterized",900,"GO:0003674"
"evm.model.Contig0.227","XM_022487590.1","LOC111136614","kynurenine formamidase-like",257,"GO:0006520;GO:0009056;GO:0016810;GO:0034641"
"evm.model.Contig0.228","XM_022451512.1","LOC111113323","E3 ubiquitin-protein ligase MIB2-like",1001,"GO:0006464;GO:0016757;GO:0043167"
"evm.model.Contig0.229","XM_022451512.1","LOC111113323","E3 ubiquitin-protein ligase MIB2-like",1001,"GO:0006464;GO:0016757;GO:0043167"
"evm.model.Contig0.236","XM_022487996.1",NA,NA,NA,NA
"evm.model.Contig0.237","XM_022487364.1","LOC111136484","ER membrane protein complex subunit 1-like",979,"GO:0003674;GO:0005737;GO:0005783;GO:0032991"
"evm.model.Contig0.238","XM_022487521.1","LOC111136575","coiled-coil domain-containing protein 115-like",189,"GO:0065003"
"evm.model.Contig0.239","XM_022430649.1","LOC111099216","F-box only protein 42-like",595,"GO:0003674"
"evm.model.Contig0.242","XM_022487370.1",NA,NA,NA,NA
"evm.model.Contig0.243","XM_022488152.1","LOC111136958","NACHT and WD repeat domain-containing protein 2-like",1676,"GO:0003674"
"evm.model.Contig0.244","XM_022467265.1","LOC111124410","trafficking protein particle complex subunit 4-like",218,"GO:0005622;GO:0016192;GO:0032991"
"evm.model.Contig0.246","XM_022481271.1","LOC111133152","leucine-rich repeat-containing protein 34-like",430,"GO:0003674"
"evm.model.Contig0.247","XM_022487879.1",NA,NA,NA,NA
"evm.model.Contig0.249","XM_022484887.1","LOC111135127","GRB10-interacting GYF protein 2-like",1279.66666666667,"GO:0003674"
"evm.model.Contig0.25","XM_022489624.1","LOC111137922","neuronal acetylcholine receptor subunit alpha-7-like",465,"GO:0005575;GO:0007165;GO:0022857"
"evm.model.Contig0.250","XM_022486570.1","LOC111136017","tyrosine-protein kinase PR2-like",1526.38461538462,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig0.253","XM_022467948.1","LOC111124771","protein mesh-like",1050,"GO:0007155"
"evm.model.Contig0.255","XM_022481280.1",NA,NA,NA,NA
"evm.model.Contig0.256","XM_022481264.1","LOC111133148","phenylalanine--tRNA ligase beta subunit-like",585,"GO:0003723;GO:0005737;GO:0006399;GO:0006412;GO:0006520;GO:0016874;GO:0032991;GO:0043167"
"evm.model.Contig0.257","XM_022490479.1",NA,NA,NA,NA
"evm.model.Contig0.259","XM_022480807.1","LOC111132884","chordin-like",919,"GO:0003674;GO:0048856"
"evm.model.Contig0.26","XM_022469039.1","LOC111125331","heavy metal-binding protein HIP-like",360,"GO:0003674"
"evm.model.Contig0.260","XM_022470308.1",NA,NA,NA,NA
"evm.model.Contig0.261","XM_022470308.1",NA,NA,NA,NA
"evm.model.Contig0.262","XM_022487232.1","LOC111136406","YEATS domain-containing protein 4-like",226,"GO:0000228;GO:0005654;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig0.263","XM_022470308.1",NA,NA,NA,NA
"evm.model.Contig0.264","XM_022489508.1","LOC111137825","protein piccolo-like",1674.29411764706,"GO:0007165;GO:0019899"
"evm.model.Contig0.266.1","XM_022483449.1","LOC111134441","uncharacterized",973,"GO:0003723;GO:0016853;GO:0034641"
"evm.model.Contig0.267","XM_022480038.1",NA,NA,NA,NA
"evm.model.Contig0.27","XM_022467270.1","LOC111124418","neurobeachin-like protein 1",2616,"GO:0003674"
"evm.model.Contig0.273","XM_022489737.1",NA,NA,NA,NA
"evm.model.Contig0.274","XM_022487108.1","LOC111136339","uncharacterized",935,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.275","XM_022489443.1","LOC111137792","uncharacterized",935,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.276","XM_022460067.1","LOC111119660","nephrocystin-4-like",1439,"GO:0005856;GO:0005929;GO:0007165;GO:0007267"
