"TranscriptID","ProteinID","GeneID"
"XM_022430339.1","purine nucleoside phosphorylase-like","LOC111138521"
"XM_022430340.1","uncharacterized","LOC111099031"
"XM_022430341.1","uncharacterized","LOC111099031"
"XM_022430342.1","uncharacterized","LOC111099031"
"XM_022430343.1","5-hydroxytryptamine receptor-like","LOC111099032"
"XM_022430344.1","uncharacterized","LOC111099034"
"XM_022430345.1","dehydrogenase/reductase SDR family member 1-like","LOC111099035"
"XM_022430346.1","dehydrogenase/reductase SDR family member 1-like","LOC111099035"
"XM_022430347.1","solute carrier family 23 member 2-like","LOC111099033"
"XM_022430348.1","monocarboxylate transporter 12-like","LOC111099036"
"XM_022430349.1","monocarboxylate transporter 12-like","LOC111099036"
"XM_022430350.1","zinc finger protein with KRAB and SCAN domains 1-like","LOC111099037"
"XM_022430351.1","uncharacterized","LOC111099039"
"XM_022430352.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430353.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430354.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430355.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430356.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430357.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430358.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430359.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430360.1","proton-coupled folate transporter-like","LOC111099041"
"XM_022430361.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430362.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430363.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430364.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430365.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430366.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430367.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430368.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430369.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430370.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430371.1","proton-coupled folate transporter-like","LOC111099041"
"XM_022430372.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430373.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430374.1","lymphocyte cytosolic protein 2-like","LOC111099040"
