"GeneID","TranscriptID","ProteinID","meanLength","Annotation_GO_ID"
"LOC111099029","XM_022458270.1","transient receptor potential cation channel subfamily M member 6-like",1590,"GO:0003674"
"LOC111099032","XM_022430343.1","5-hydroxytryptamine receptor-like",431,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099033","XM_022430347.1","solute carrier family 23 member 2-like",611,"GO:0005575;GO:0022857"
"LOC111099034","XM_022430344.1","uncharacterized",336,"GO:0003674"
"LOC111099036","XM_022430348.1","monocarboxylate transporter 12-like",527,"GO:0005575;GO:0055085"
"LOC111099036","XM_022430349.1","monocarboxylate transporter 12-like",527,"GO:0005575;GO:0055085"
"LOC111099037","XM_022430350.1","zinc finger protein with KRAB and SCAN domains 1-like",388,"GO:0003674"
"LOC111099039","XM_022430351.1","uncharacterized",319,"GO:0005575"
"LOC111099040","XM_022430355.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430353.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430366.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430374.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430373.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430362.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430364.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430367.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430354.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430365.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430359.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430357.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430358.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430377.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430361.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430370.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430375.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430368.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430352.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430356.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430376.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430378.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430372.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430369.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099040","XM_022430363.1","lymphocyte cytosolic protein 2-like",693.04,"GO:0003674"
"LOC111099041","XM_022430360.1","proton-coupled folate transporter-like",543,"GO:0005575;GO:0055085"
"LOC111099041","XM_022430371.1","proton-coupled folate transporter-like",543,"GO:0005575;GO:0055085"
"LOC111099043","XM_022430380.1","cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like",958,"GO:0005575;GO:0022857"
"LOC111099043","XM_022430379.1","cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like",958,"GO:0005575;GO:0022857"
"LOC111099044","XM_022430382.1","homeobox protein Hox-A9-like",228,"GO:0003677;GO:0009058;GO:0034641"
"LOC111099047","XM_022430384.1","b(0,+)-type amino acid transporter 1-like",532.571428571429,"GO:0005575;GO:0022857"
"LOC111099047","XM_022430390.1","b(0,+)-type amino acid transporter 1-like",532.571428571429,"GO:0005575;GO:0022857"
"LOC111099047","XM_022430389.1","b(0,+)-type amino acid transporter 1-like",532.571428571429,"GO:0005575;GO:0022857"
"LOC111099047","XM_022430385.1","b(0,+)-type amino acid transporter 1-like",532.571428571429,"GO:0005575;GO:0022857"
"LOC111099047","XM_022430386.1","b(0,+)-type amino acid transporter 1-like",532.571428571429,"GO:0005575;GO:0022857"
"LOC111099047","XM_022430388.1","b(0,+)-type amino acid transporter 1-like",532.571428571429,"GO:0005575;GO:0022857"
"LOC111099047","XM_022430387.1","b(0,+)-type amino acid transporter 1-like",532.571428571429,"GO:0005575;GO:0022857"
"LOC111099048","XM_022430391.1","apolipoprotein D-like",183,"GO:0003674"
"LOC111099050","XM_022430392.1","amyloid protein-binding protein 2-like",574,"GO:0003674"
"LOC111099052","XM_022430393.1","cysteine sulfinic acid decarboxylase-like",565,"GO:0016829;GO:0043167;GO:0044281"
"LOC111099053","XM_022430394.1","eukaryotic translation initiation factor 2 subunit 2-like",319,"GO:0005840;GO:0008135"
"LOC111099054","XM_022430396.1","uncharacterized",478,"GO:0003674"
"LOC111099055","XM_022430397.1","atrial natriuretic peptide receptor 2-like",1164,"GO:0006464;GO:0007165;GO:0009058;GO:0016301;GO:0016829;GO:0034641;GO:0043167;GO:0044281"
"LOC111099056","XM_022430400.1","tRNA (uracil-5-)-methyltransferase homolog A-like",616,"GO:0008168;GO:0034641"
"LOC111099056","XM_022430399.1","tRNA (uracil-5-)-methyltransferase homolog A-like",616,"GO:0008168;GO:0034641"
"LOC111099056","XM_022430398.1","tRNA (uracil-5-)-methyltransferase homolog A-like",616,"GO:0008168;GO:0034641"
"LOC111099057","XM_022430401.1","uncharacterized",132,"GO:0003674;GO:0005576;GO:0007165"
"LOC111099058","XM_022430402.1","G-protein coupled receptor 157-like",350,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099059","XM_022430406.1","G-protein coupled receptor 157-like",344,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099059","XM_022430404.1","G-protein coupled receptor 157-like",344,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099059","XM_022430405.1","G-protein coupled receptor 157-like",344,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099062","XM_022430410.1","MAP kinase-activated protein kinase 5-like",470,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099063","XM_022430411.1","peptidyl-prolyl cis-trans isomerase-like 2",522,"GO:0006457;GO:0006464;GO:0016853"
"LOC111099064","XM_022430414.1","poly(U)-specific endoribonuclease-like",370,"GO:0002376;GO:0004518;GO:0007165"
"LOC111099066","XM_022430412.1","demethylmenaquinone methyltransferase-like",280,"GO:0008168"
"LOC111099066","XM_022430413.1","demethylmenaquinone methyltransferase-like",280,"GO:0008168"
"LOC111099067","XM_022430415.1","pre-rRNA processing protein FTSJ3-like",824,"GO:0005634;GO:0008168;GO:0034641;GO:0042254"
"LOC111099069","XM_022430418.1","low-density lipoprotein receptor-related protein 2-like",419,"GO:0003674"
"LOC111099070","XM_022430423.1","solute carrier family 22 member 4-like",528,"GO:0005575;GO:0022857"
"LOC111099070","XM_022430419.1","solute carrier family 22 member 4-like",528,"GO:0005575;GO:0022857"
"LOC111099070","XM_022430422.1","solute carrier family 22 member 4-like",528,"GO:0005575;GO:0022857"
"LOC111099070","XM_022430420.1","solute carrier family 22 member 4-like",528,"GO:0005575;GO:0022857"
